,listing_id,date,rent,bedrooms,bathrooms,sqft,rent_sqft,fips_block,state,region,mpo_id,lng,lat,cars_tot,children_tot,persons_tot,workers_tot,age_of_head_med,income_med,hhs_tot,race_of_head_1,race_of_head_2,race_of_head_3,race_of_head_4,race_of_head_5,race_of_head_6,race_of_head_7,race_of_head_8,race_of_head_9,recent_mover_0,recent_mover_1,tenure_1,tenure_2
27827,5935070220,2017-01-03,1850.0,1.0,1.0,650.0,2.84615384615385,60014413021006,CA,sfbay,6197001.0,-122.02117199999999,37.572235,1366.0,403.0,1808.0,740.0,54.0,70950.0,598.0,254.0,2.0,8.0,2.0,2.0,255.0,7.0,38.0,30.0,533.0,65.0,468.0,130.0
27873,5943976426,2017-01-03,2050.0,1.0,1.0,527.0,3.8899430740037997,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
28013,5944173463,2017-01-03,2195.0,3.0,2.5,1932.0,1.13612836438923,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
28106,5944412010,2017-01-03,2995.0,2.0,2.0,991.0,3.02219979818365,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
28186,5944405636,2017-01-03,2845.0,1.0,1.0,919.0,3.0957562568008705,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
28211,5944398563,2017-01-03,2450.0,2.0,2.0,1140.0,2.14912280701754,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
28217,5944396849,2017-01-03,2468.0,2.0,2.0,850.0,2.90352941176471,60014417002031,CA,sfbay,6197001.0,-122.013972,37.544236,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
28240,5944392558,2017-01-03,2468.0,2.0,2.0,850.0,2.90352941176471,60014417002031,CA,sfbay,6197001.0,-122.013972,37.544236,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
28623,5983397874,2017-01-31,2500.0,4.0,3.0,2644.0,0.94553706505295,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
28624,5983427674,2017-01-31,3195.0,3.0,1.0,1107.0,2.88617886178862,60855055002006,CA,sfbay,6197001.0,-121.96456200000002,37.346041,1323.0,438.0,1784.0,847.0,49.0,50510.0,718.0,450.0,37.0,5.0,1.0,2.0,151.0,2.0,48.0,22.0,550.0,168.0,329.0,389.0
28689,5952839001,2017-01-12,2550.0,2.0,2.0,1077.0,2.36768802228412,60014419251000,CA,sfbay,6197001.0,-121.97034599999999,37.558085,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
28729,5957178417,2017-01-12,3400.0,4.0,3.0,2200.0,1.54545454545455,60014413024002,CA,sfbay,6197001.0,-122.01536200000001,37.56812,959.0,310.0,1300.0,534.0,51.0,87700.0,456.0,174.0,1.0,3.0,1.0,1.0,247.0,3.0,18.0,8.0,327.0,129.0,290.0,166.0
28762,5945913713,2017-01-04,2955.0,2.0,2.0,991.0,2.98183652875883,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
28779,5945923447,2017-01-04,2535.0,1.0,1.0,769.0,3.29648894668401,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
